,Unnamed: 0,Portal,Título,Resumo,Data,URL,sentimento,confianca
19,19,Joven Pan,Domingo de Páscoa terá calor e pancadas de chuva,"Neste sábado, os termômetros na capital paulista chegaram a registrar 32°C na região da Avenida Paulista",2026-04-04 17:41:00,https://jovempan.com.br/noticias/brasil/domingo-de-pascoa-tera-calor-e-pancadas-de-chuva.html,positive,0.4258914589881897
20,20,Joven Pan,Chegada de ciclone e frente fria aumenta a chance de chuvas no país,Primeira semana do outono começa com mudanças no tempo em diferentes regiões,2026-03-24 11:54:00,https://jovempan.com.br/noticias/brasil/chegada-de-ciclone-e-frente-fria-aumenta-a-chance-de-chuvas-no-pais.html,positive,0.492311954498291
21,21,Joven Pan,"Chuva dá trégua em SP nesta sexta, mas Sudeste segue em alerta","Temperatura em São Paulo sobe, com máxima prevista de 26ºC; instabilidades são esperadas no Norte e Centro-Oeste",2026-03-13 08:14:00,https://jovempan.com.br/programas/jornal-da-manha/chuva-da-tregua-em-sp-nesta-sexta-mas-sudeste-segue-em-alerta.html,positive,0.628089427947998
22,22,Joven Pan,Cidade de SP entra em alerta vermelho para fortes chuvas e alagamentos,Inmet informou que há risco de precipitação superior a 60 milímetros por hora ou acima de 100 milímetros por dia,2026-03-12 10:16:00,https://jovempan.com.br/noticias/brasil/cidade-de-sp-entra-em-alerta-vermelho-para-fortes-chuvas-e-alagamentos.html,negative,0.7030279636383057
23,23,Joven Pan,São Paulo pode receber mais da metade da chuva prevista para março nos próximos quatro dias,Gabinete de Crise da Defesa Civil segue monitorando; cenário é de atenção para o estado paulista,2026-03-09 21:56:00,https://jovempan.com.br/noticias/brasil/sao-paulo-pode-receber-mais-da-metade-da-chuva-prevista-para-marco-nos-proximos-dias.html,positive,0.5401906967163086
24,24,Joven Pan,Defesa Civil emite alerta para chuvas intensas em São Paulo até quarta-feira,"Órgão informou que a previsão para os próximos dias é de tempestades, rajadas de vento e raios em diferentes regiões do estado",2026-03-09 12:32:00,https://jovempan.com.br/noticias/brasil/defesa-civil-emite-alerta-para-chuvas-intensas-em-sao-paulo-para-ate-quarta-feira.html,positive,0.48249951004981995
25,25,Joven Pan,Fortes chuvas destroem academia de crossfit na Zona Sul de SP,"Em entrevista à Jovem Pan, o responsável pelo local, Ricardo Tost, afirmou que prejuízo estimado ultrapassa a marca dos R$ 100 mil",2026-03-09 11:12:00,https://jovempan.com.br/programas/jornal-da-manha/fortes-chuvas-destroem-academia-de-crossfit-na-zona-sul-de-sp.html,negative,0.7276723384857178
26,26,Joven Pan,Chuvas provocam duas mortes em SP neste sábado,Previsão para o domingo é de mais chuvas com rajadas de ventos,2026-03-08 11:19:00,https://jovempan.com.br/noticias/brasil/chuvas-provocam-morte-de-duas-pessoas-em-sp.html,negative,0.8697925209999084
27,27,Joven Pan,Inmet emite alerta laranja para ventos e tempestades no Sul e Sudeste,"No Rio Grande do Sul a chuva deve alcançar entre 50 e 10 milímetros por dia, com ventos que podem chegar a 100 quilômetros por hora",2026-03-07 11:39:00,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-laranja-para-ventos-e-tempestades-no-sul-e-sudeste.html,positive,0.5971790552139282
28,28,Joven Pan,Forte chuva coloca regiões de São Paulo em estado de atenção para alagamentos,"Temporal na manhã deste sábado (7) atinge zonas norte, oeste e centro da capital, além da Marginal Tietê, menos de 24 horas após outra chuva causar estragos na cidade",2026-03-07 09:28:00,https://jovempan.com.br/noticias/brasil/forte-chuva-coloca-regioes-de-sao-paulo-em-estado-de-atencao-para-alagamentos.html,positive,0.4498019814491272
29,29,Joven Pan,Cidade de SP entra em estado de atenção para alagamentos; Defesa Civil emite alerta,"Imagens do radar meteorológico do CGE da Prefeitura de São Paulo mostram chuva nas zonas Norte, Oeste e Leste",2026-03-06 13:45:00,https://jovempan.com.br/noticias/brasil/cidade-de-sp-entra-em-estado-de-atencao-para-alagamentos-defesa-civil-emite-alerta.html,negative,0.4852328300476074
30,30,Joven Pan,Inmet emite alertas laranja e amarelo para chuvas em SP e outros estados,"No domingo (8), a aproximação de uma frente fria muda o tempo na cidade de São Paulo",2026-03-06 13:21:00,https://jovempan.com.br/noticias/brasil/inmet-emite-alertas-laranja-e-amarelo-para-chuvas-em-sp-e-outros-estados.html,positive,0.645356297492981
31,31,Joven Pan,Sobe para 72 o número de mortos nas chuvas em Minas Gerais,"Uma pessoa continua desaparecida em Ubá, segundo Polícia Civil",2026-03-01 10:38:00,https://jovempan.com.br/noticias/brasil/sobe-para-72-o-numero-de-mortos-nas-chuvas-em-minas-gerais.html,negative,0.7609783411026001
32,32,Joven Pan,"Minas Gerais, Rio de Janeiro e outros estados seguem com alerta vermelho para chuvas",O alerta vermelho para acúmulo de chuva indica precipitação superior a 60 mm/h ou acima de 100 mm/dia,2026-02-27 12:21:00,https://jovempan.com.br/noticias/brasil/minas-gerais-rio-de-janeiro-e-outros-estados-seguem-com-alerta-vermelho-para-chuvas.html,positive,0.42100411653518677
33,33,Joven Pan,Chuvas em Minas Gerais: Sobe para 64 número de mortos,"Temporais que atingiram Juiz de Fora, Ubá e outros municípios da Zona da Mata também deixaram desaparecidos e centenas de pessoas foram resgatadas na região",2026-02-26 09:40:00,https://jovempan.com.br/noticias/brasil/chuvas-minas-gerais-numero-de-mortos.html,negative,0.7371344566345215
34,34,Joven Pan,Chuvas deixam desabrigados e cenário de incerteza em Juiz de Fora,Mais de 3 mil pessoas estão sem moradia fixa desde segunda-feira (23),2026-02-26 06:33:00,https://jovempan.com.br/noticias/brasil/chuvas-deixam-desabrigados-e-cenario-de-incerteza-em-juiz-de-fora.html,negative,0.6076586842536926
35,35,Joven Pan,Juiz de Fora volta a registrar chuvas fortes; veja vídeos,"Município está em estado de calamidade desde a passagem de um temporal na Zona da Mata mineira, na segunda-feira (23)",2026-02-25 23:32:00,https://jovempan.com.br/noticias/brasil/juiz-de-fora-volta-a-registrar-chuvas-fortes-veja-videos.html,negative,0.5418716073036194
36,36,Joven Pan,"Minas tem risco de novas chuvas nesta semana, diz Inmet","Segundo instituto, a precipitação será superior a 60 milímetros por hora ou acima de 100 mm/dia; fevereiro é um dos meses mais chuvosos dos últimos anos no estado",2026-02-25 11:26:00,https://jovempan.com.br/noticias/brasil/minas-tem-risco-de-novas-chuvas-nesta-semana-diz-inmet.html,negative,0.701311469078064
37,37,Joven Pan,Zema diz que o governo faz ‘todo o esforço possível’ para auxiliar vítimas das chuvas,O gestor lamentou o ocorrido e disse que a ajuda humanitária de Belo Horizonte já está a caminho das cidades afetadas,2026-02-24 22:05:00,https://jovempan.com.br/noticias/brasil/zema-diz-que-o-governo-faz-todo-o-esforco-possivel-para-auxiliar-vitimas-das-chuvas.html,negative,0.5963037014007568
38,38,Joven Pan,Prefeita de Juiz de Fora faz alerta para ‘novos eventos críticos’ em relação às chuvas,Margarida Salomão fez questão de recomendar que qualquer um que esteja em lugar de risco saia imediatamente,2026-02-24 17:56:00,https://jovempan.com.br/noticias/brasil/prefeita-de-juiz-de-fora-faz-alerta-para-novos-eventos-criticos-em-relacao-as-chuvas.html,positive,0.6623127460479736
39,39,Joven Pan,"Entenda o que é ‘supercélula’, fenômeno que causou chuva extrema em MG","O evento climático pode gerar ventos fortes, granizo, chuvas intensas e tornados",2026-02-24 14:48:00,https://jovempan.com.br/noticias/brasil/entenda-o-que-e-supercelula-fenomeno-que-causou-chuva-extrema-em-mg.html,negative,0.8225443363189697
40,40,Joven Pan,Tempestade deixa mais de 300 pessoas desabrigadas no litoral de São Paulo,"Peruíbe é o município mais atingido, com 56 milímetros de água acumulados em um dia; não foram registradas vítimas",2026-02-24 11:22:00,https://jovempan.com.br/noticias/brasil/chuvas-litoral-sao-paulo.html,negative,0.8115142583847046
41,41,Joven Pan,Chuvas deixam ao menos 30 mortos em Minas Gerais; Juiz de Fora decreta calamidade,"Vinte e quatro mortes aconteceram em Juiz de Fora, e seis no município de Ubá",2026-02-24 08:12:00,https://jovempan.com.br/noticias/brasil/chuvas-deixam-mortes-na-zona-da-mata-juiz-de-fora-decreta-estado-de-calamidade.html,negative,0.7100985050201416
42,42,Joven Pan,Ubatuba decreta situação de emergência após chuvas no fim de semana,"Neste domingo, 15 famílias ficaram desabrigadas e outras 15 foram desalojadas",2026-02-23 14:06:00,https://jovempan.com.br/noticias/brasil/ubatuba-decreta-situacao-de-emergencia-apos-chuvas-no-fim-de-semana.html,negative,0.6750723123550415
43,43,Joven Pan,Naufrágio provocado por chuva forte deixa dois mortos em Ubatuba,"Outras três pessoas foram resgatadas com vida próximo ao bairro de Ponta Grossa, segundo o Grupamento de Bombeiros Marítimo",2026-02-22 14:00:00,https://jovempan.com.br/noticias/brasil/naufragio-provocado-por-chuva-forte-deixa-dois-mortos-em-ubatuba.html,negative,0.8819401264190674
44,44,Joven Pan,Frente fria coloca estado de SP em alerta para chuvas fortes e risco de alagamentos,"De acordo com a Defesa Civil, previsão é de risco de granizo, alagamentos e deslizamentos entre essa quarta (18) e quinta-feira (19)",2026-02-18 08:36:00,https://jovempan.com.br/noticias/brasil/frente-fria-coloca-estado-de-sp-em-alerta-para-chuvas-fortes-e-risco-de-alagamentos.html,negative,0.63181471824646
45,45,Joven Pan,Enchente em Guarulhos arrasta mulher e deixa pessoas ilhadas,Não há registro de mortos ou feridos em Guarulhos.,2026-02-17 08:19:00,https://jovempan.com.br/noticias/brasil/enchente-em-guarulhos-arrasta-mulher-e-deixa-pessoas-ilhadas.html,negative,0.6593220233917236
46,46,Joven Pan,Carnaval deve ter chuva e calor em grande parte do país,"Previsão indica chuva localizada principalmente à tarde, com temperaturas em elevação ao longo do dia",2026-02-13 13:39:00,https://jovempan.com.br/noticias/brasil/carnaval-deve-ter-chuva-e-calor-em-grande-parte-do-pais.html,positive,0.5788602828979492
47,47,Joven Pan,Defesa Civil coloca 45 cidades de SP em atenção para deslizamentos,Chuvas intensas nas últimas 72 horas saturaram o solo e elevaram o risco em áreas de encosta no estado,2026-02-10 12:48:00,https://jovempan.com.br/noticias/brasil/defesa-civil-coloca-45-cidades-de-sp-em-atencao-para-deslizamentos.html,positive,0.505548357963562
48,48,Joven Pan,Inmet emite alerta de chuvas intensas para todas as regiões do Brasil,"De acordo com o instituto, em algumas áreas, o volume de precipitação pode chegar a 100 milímetros em 24 horas nesta segunda-feira (9)",2026-02-09 08:18:00,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-chuvas-intensas-para-todas-as-regioes-do-brasil.html,positive,0.6618015766143799
49,49,Joven Pan,Defesa Civil de SP mobiliza gabinete de crise após tempestades no estado,"Em São Carlos, em 24 horas, choveu o volume esperado para 24 dias; previsão indica manutenção do risco de alagamentos e deslizamentos entre este domingo (8) e segunda-feira (9)",2026-02-08 13:38:00,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-mobiliza-gabinete-de-crise-tempestades-no-estado.html,negative,0.45374396443367004
50,50,Joven Pan,Defesa Civil de SP alerta para risco de chuvas ‘fortes e persistentes’,"Alerta indica que, entre sábado (7) e segunda-feira (9), a previsão é de chuva persistente em todo o Estado e Gabinete de Crise será instalado em formato remoto.",2026-02-07 11:00:00,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-alerta-para-risco-de-chuvas-fortes-e-persistentes.html,negative,0.6238864660263062
51,51,Joven Pan,Inmet divulga alerta de perigo sobre chuvas intensas na Paraíba,"Em João Pessoa, na capital do estado, o registro foi de chuva acima da média histórica para todo o mês de fevereiro",2026-02-06 21:36:00,https://jovempan.com.br/noticias/brasil/inmet-divulga-alerta-de-perigo-sobre-chuvas-intensas-na-paraiba.html,negative,0.4757387340068817
52,52,Joven Pan,Frente fria provoca chuva e queda de temperaturas em SP e em outros Estados,"De acordo com informações da Climatempo, a combinação entre calor, umidade elevada e a aproximação da frente fria irão favorecer a ocorrência de pancadas de chuva moderadas a fortes, principalmente no período da tarde e da noite",2026-02-05 10:40:00,https://jovempan.com.br/noticias/brasil/frente-fria-provoca-chuva-e-queda-de-temperaturas-em-sp-e-em-outros-estados.html,negative,0.6019881963729858
53,53,Joven Pan,Onda de calor atinge o Sul enquanto SP entra em alerta para tempestades,Inmet prevê temperaturas elevadas por mais de cinco dias no Sul e risco de alagamentos e granizo em outras regiões do país,2026-02-04 11:10:00,https://jovempan.com.br/noticias/brasil/onda-de-calor-atinge-o-sul-enquanto-sp-entra-em-alerta-para-tempestades.html,positive,0.4951409101486206
54,54,Joven Pan,Defesa Civil de SP alerta para risco de tempestades nesta segunda-feira,"Alerta indica que a previsão é de pancadas de chuva persistentes, acompanhadas por raios, ventos e possibilidade de granizo até terça-feira (3)",2026-02-02 06:35:00,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-alerta-para-risco-de-tempestades-nesta-segunda-feira.html,positive,0.448983371257782
55,55,Joven Pan,Ciclone extratropical intensifica chuvas em São Paulo nesta sexta-feira,Defesa Civil coloca em prática um plano de contingência e alerta para o risco de alagamentos e deslizamentos de terra,2026-01-30 10:14:00,https://jovempan.com.br/noticias/brasil/ciclone-extratropical-intensifica-chuvas-em-sao-paulo-nesta-sexta-feira.html,positive,0.47575709223747253
56,56,Joven Pan,SP entra em alerta para tempestades e risco de alagamentos nesta quinta-feira,"Previsão aponta chuva forte, granizo e rajadas de vento a partir da tarde; temperatura máxima deve cair para 25ºC na sexta-feira (30)",2026-01-29 13:01:00,https://jovempan.com.br/noticias/brasil/sp-entra-em-alerta-para-tempestades-e-risco-de-alagamentos-nesta-quinta-feira.html,positive,0.4856911599636078
57,57,Joven Pan,"Chuva em SP gera alagamento, deixa pessoas ilhadas e interrompe circulação de trens","De acordo com o Corpo de Bombeiros, a corporação registrou 54 chamados relacionados a enchentes nas cidades de Suzano, Mogi das Cruzes, Poá, Itaquaquecetuba e Guarulhos, além da zona leste da capital",2026-01-28 20:22:00,https://jovempan.com.br/noticias/brasil/chuva-em-sp-gera-alagamento-deixa-pessoas-ilhadas-e-interrompe-circulacao-de-trens.html,negative,0.5991958975791931
58,58,Joven Pan,Como escolher o melhor app para monitorar raios e chuvas no verão,Ferramentas digitais baseadas em dados de radar e satélite para a segurança meteorológica em tempo real.,2026-01-28 02:00:00,https://jovempan.com.br/noticias/brasil/como-escolher-o-melhor-app-para-monitorar-raios-e-chuvas-no-verao.html,positive,0.8123921751976013
59,59,Joven Pan,São Paulo entra em estado de atenção para chuva; 80 mil estão sem luz,"Segundo o CGE, as marginais Pinheiros e Tietê estão em estado de atenção para alagamentos",2026-01-27 16:18:00,https://jovempan.com.br/noticias/brasil/t-sao-paulo-entra-em-estado-de-atencao-para-chuva-80-mil-estao-sem-luz.html,negative,0.672083854675293
60,60,Joven Pan,"Após morte e transtornos no fim de semana, SP tem previsão de mais chuva nos próximos dias",Mesmo com temperaturas em elevação a semana também será marcada por volumes de chuva,2026-01-26 08:46:00,https://jovempan.com.br/noticias/brasil/apos-morte-e-transtornos-no-fim-de-semana-sp-tem-previsao-de-mais-chuva-nos-proximos-dias.html,negative,0.4458610415458679
61,61,Joven Pan,"Sete anos após tragédia de Brumadinho, Justiça prepara início das audiências para fevereiro",Juíza Federal define cronograma que começa dia 23 do próximo mês; sessões vão julgar crimes ambientais e as responsabilidades pelas 270 mortes,2026-01-25 08:01:00,https://jovempan.com.br/noticias/brasil/sete-anos-apos-tragedia-de-brumadinho-justica-prepara-inicio-das-audiencias-para-fevereiro.html,negative,0.5518462061882019
62,62,Joven Pan,Inmet emite alertas para chuvas no Brasil; saiba estados afetados,"Das cinco regiões, apenas os Estados do Sul estão fora dos alertas, que valem até o próximo sábado",2026-01-22 13:02:00,https://jovempan.com.br/noticias/brasil/inmet-emite-alertas-para-chuvas-no-brasil-saiba-estados-afetatos.html,positive,0.5354269742965698
63,63,Joven Pan,Semana começa com risco de chuva extrema em várias partes do Brasil: ‘Grande perigo’,,2026-01-18 19:06:00,https://jovempan.com.br/noticias/brasil/semana-comeca-com-risco-de-chuva-extrema-em-varias-partes-do-brasil-grande-perigo.html,negative,0.8752008676528931
64,64,Joven Pan,Chuvas fortes devem atingir SP novamente neste domingo,Frente fria deve derrubar as temperaturas a partir de segunda-feira (19),2026-01-18 10:57:00,https://jovempan.com.br/noticias/brasil/chuvas-fortes-devem-atingir-sp-novamente-neste-domingo.html,positive,0.4766782224178314
65,65,Joven Pan,Chuvas abaixo da média tendem a persistir e agravar seca em São Paulo,"Situação se deve à dificuldade de avanço de frentes frias e da umidade, condições que têm relação com a alta anômala causada pela persistência do fenômeno La Niña no Oceano Pacífico",2026-01-17 10:21:00,https://jovempan.com.br/noticias/brasil/chuvas-abaixo-da-media-tendem-a-persistir-e-agravar-seca-em-sao-paulo.html,negative,0.7490636110305786
66,66,Joven Pan,Chuva deixa cidade de SP em estado de atenção para alagamentos,"Há potencial para rajadas de vento, descargas elétricas (raios) e eventuais quedas de granizo, bem comum nesta época do ano, em função dos fortes temporais nos fins de tarde",2026-01-15 17:36:00,https://jovempan.com.br/noticias/brasil/chuva-deixa-cidade-de-sp-em-estado-de-atencao-para-alagamentos.html,positive,0.6316763758659363
67,67,Joven Pan,Queda de árvore mata mulher e SP chega a dez mortes por causa das chuvas,"Vítima de 35 anos estava na Rodovia Oswaldo Cruz, em Taubaté, nesta quarta (14); segundo ocupante do veículo ficou preso às ferragens e foi socorrido consciente",2026-01-15 11:14:00,https://jovempan.com.br/noticias/brasil/queda-de-arvore-mata-mulher-e-sp-chega-a-dez-mortes-por-causa-das-chuvas.html,negative,0.9233534336090088
68,68,Joven Pan,São Paulo entra em estado de atenção após chuva intensa,"Previsão é que a cidade enfrente dias mais chuvosos nesta semana, em razão da propagação de áreas de instabilidade oriundas do interior paulista e associadas ao calor e umidade nos finais de tarde",2026-01-14 16:09:00,https://jovempan.com.br/noticias/brasil/sao-paulo-entra-em-estado-de-atencao-apos-chuva-intensa.html,negative,0.6311918497085571
69,69,Joven Pan,"São Paulo entra em estado de atenção após forte chuva, ventania e queda de granizo",Centro de Gerenciamento de Emergências Climáticas (CGE) informou que todas as regiões da capital entraram em estado de atenção para alagamentos,2026-01-13 20:55:00,https://jovempan.com.br/noticias/brasil/sao-paulo-entra-em-estado-de-atencao-apos-forte-chuva-ventania-e-queda-de-granizo.html,negative,0.480017751455307
70,70,Joven Pan,Calor e alta umidade favorecem pancadas de chuva isoladas em São Paulo nesta terça,"Sol entre nuvens mantém sensação de abafamento, e instabilidades podem provocar chuva forte, raios e rajadas de vento em pontos do estado",2026-01-13 06:45:00,https://jovempan.com.br/noticias/brasil/calor-e-alta-umidade-favorecem-pancadas-de-chuva-isoladas-em-sao-paulo-nesta-terca.html,negative,0.7150552272796631
71,71,Joven Pan,Inmet emite alerta amarelo para temporais e chuvas intensas em diversas regiões do país,Avisos desta segunda-feira (12) atingem do Sul ao Nordeste; ciclone que provocou estragos no fim de semana perde força e se afasta da costa,2026-01-12 09:56:00,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-amarelo-para-temporais-e-chuvas-intensas-em-diversas-regioes-do-pais.html,negative,0.4647083282470703
72,72,Joven Pan,Primeiro ciclone de 2026 atinge centro-sul do país; leia estados afetados,"Rio Grande do Sul, Santa Catarina, Paraná, São Paulo e Mato Grosso do Sul vão sentir os efeitos do fenômeno",2026-01-09 19:37:00,https://jovempan.com.br/noticias/brasil/primeiro-ciclone-de-2026-atinge-centro-sul-do-pais-leia-estados-afetados.html,negative,0.5354748964309692
73,73,Joven Pan,Defesa Civil alerta para chegada de frente fria e chuva isolada em SP no fim de semana,"Efeitos associados a ciclone no Sul do Brasil serão sentidos no sábado (10) e domingo (11), sem impactos significativos nesta sexta-feira (9)",2026-01-09 09:33:00,https://jovempan.com.br/noticias/brasil/defesa-civil-alerta-para-chegada-de-frente-fria-e-chuva-isolada-em-sp-no-fim-de-semana.html,positive,0.43926650285720825
74,74,Joven Pan,Chuva em SP provoca transbordamento de córregos e deixa toda a cidade em estado de atenção,"Por volta das 16h, a Defesa Civil emitiu alerta severo para a zona leste, zona sul, Mogi das Cruzes, Ferraz de Vasconcelos, Santo André e São Caetano do Sul",2026-01-08 17:14:00,https://jovempan.com.br/noticias/brasil/chuva-em-sp-provoca-transbordamento-de-corregos-e-deixa-toda-a-cidade-em-estado-de-atencao.html,negative,0.766657292842865
75,75,Joven Pan,Árvore que caiu no Ibirapuera pode ter tido raízes afetadas por ciclone,"Segundo a Urbia, concessionária responsável pela gestão do parque, a hipótese técnica preliminar é de que o sistema radicular da árvore tenha sido afetado pelo ciclone extratropical que atingiu São Paulo em 10 de dezembro de 2025",2026-01-06 06:53:00,https://jovempan.com.br/noticias/brasil/arvore-que-caiu-no-ibirapuera-pode-ter-tido-raizes-afetadas-por-ciclone.html,negative,0.5732675790786743
